No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
1,MGLV,NexAI Digital Infrastruktur Tb,08 Jun 2021,1.904.883.411,Akselerasi
2,TRUE,Triniti Dinamik Tbk.,10 Jun 2021,7.571.107.860,Pengembangan
3,LABA,Green Power Group Tbk.,10 Jun 2021,1.103.402.553,Pengembangan
4,ARCI,Archi Indonesia Tbk.,28 Jun 2021,25.235.000.000,Pengembangan
5,IPAC,Era Graharealty Tbk.,30 Jun 2021,949.868.500,Akselerasi
6,MASB,Bank Multiarta Sentosa Tbk.,30 Jun 2021,1.387.737.233,Utama
7,BMHS,Bundamedik Tbk.,06 Jul 2021,8.603.416.176,Utama
8,FLMC,Falmaco Nonwoven Industri Tbk.,08 Jul 2021,781.250.000,Akselerasi
9,NICL,PAM Mineral Tbk.,09 Jul 2021,10.635.644.907,Pengembangan
10,UVCR,Trimegah Karya Pratama Tbk.,27 Jul 2021,2.000.144.838,Pengembangan
11,BUKA,Bukalapak.com Tbk.,06 Agt 2021,103.167.090.767,Ekonomi Baru
12,HAIS,Hasnur Internasional Shipping ,01 Sep 2021,2.626.250.000,Pengembangan
13,OILS,Indo Oil Perkasa Tbk.,06 Sep 2021,454.056.563,Pengembangan
14,GPSO,Geoprima Solusi Tbk.,06 Sep 2021,733.415.103,Pengembangan
15,MCOL,Prima Andalan Mandiri Tbk.,07 Sep 2021,3.555.560.000,Utama
16,RSGK,Kedoya Adyaraya Tbk.,08 Sep 2021,929.675.000,Pengembangan
17,RUNS,Global Sukses Solusi Tbk.,08 Sep 2021,983.557.875,Akselerasi
18,SBMA,Surya Biru Murni Acetylene Tbk,08 Sep 2021,929.926.282,Pengembangan
19,CMNT,Cemindo Gemilang Tbk.,08 Sep 2021,17.125.504.000,Pengembangan
20,GTSI,GTS Internasional Tbk.,08 Sep 2021,15.819.142.767,Pengembangan
21,IDEA,Idea Indonesia Akademi Tbk.,09 Sep 2021,1.062.437.500,Akselerasi
22,KUAS,Ace Oldfields Tbk.,25 Okt 2021,1.292.808.150,Pengembangan
23,BOBA,Formosa Ingredient Factory Tbk,01 Nov 2021,1.155.750.000,Pengembangan
24,MTEL,Dayamitra Telekomunikasi Tbk.,22 Nov 2021,83.559.677.444,Utama
25,DEPO,Caturkarda Depo Bangunan Tbk.,25 Nov 2021,6.790.000.000,Pengembangan
26,BINO,Perma Plasindo Tbk.,25 Nov 2021,2.275.316.111,Pengembangan
27,CMRY,Cisarua Mountain Dairy Tbk.,06 Des 2021,7.934.683.000,Utama
28,WGSH,Wira Global Solusi Tbk.,06 Des 2021,2.085.000.000,Akselerasi
29,TAYS,Jaya Swarasa Agung Tbk.,06 Des 2021,1.098.920.000,Pengembangan
30,WMPP,Widodo Makmur Perkasa Tbk.,06 Des 2021,29.419.000.000,Pemantauan Khusus
31,RMKE,RMK Energy Tbk.,07 Des 2021,21.875.000.000,Utama
32,OBMD,OBM Drilchem Tbk.,08 Des 2021,805.992.931,Pengembangan
33,AVIA,Avia Avian Tbk.,08 Des 2021,61.953.555.600,Utama
34,IPPE,Indo Pureco Pratama Tbk.,09 Des 2021,4.600.000.000,Pemantauan Khusus
35,NASI,Wahana Inti Makmur Tbk.,13 Des 2021,807.400.000,Pengembangan
36,BSML,Bintang Samudera Mandiri Lines,16 Des 2021,1.850.225.000,Pengembangan
37,DRMA,Dharma Polimetal Tbk.,20 Des 2021,4.705.882.300,Utama
38,ADMR,Alamtri Minerals Indonesia Tbk,03 Jan 2022,40.882.331.500,Utama
39,SEMA,Semacom Integrated Tbk.,10 Jan 2022,1.347.258.842,Pengembangan
40,ASLC,Autopedia Sukses Lestari Tbk.,25 Jan 2022,12.746.354.780,Pengembangan
41,NETV,MDTV Media Technologies Tbk.,26 Jan 2022,41.360.517.722,Pengembangan
42,BAUT,Mitra Angkasa Sejahtera Tbk.,28 Jan 2022,4.800.182.969,Pemantauan Khusus
43,ENAK,Champ Resto Indonesia Tbk.,08 Feb 2022,2.166.666.800,Pengembangan
44,NTBK,Nusatama Berkah Tbk.,09 Feb 2022,2.700.064.877,Pengembangan
45,SMKM,Sumber Mas Konstruksi Tbk.,09 Mar 2022,1.253.000.000,Akselerasi
46,STAA,Sumber Tani Agung Resources Tb,10 Mar 2022,10.903.372.600,Utama
47,NANO,Nanotech Indonesia Global Tbk.,10 Mar 2022,4.285.440.269,Akselerasi
48,BIKE,Bhineka Inovasi Ketahanan Ener,21 Mar 2022,1.293.916.404,Pemantauan Khusus
49,WIRG,WIR ASIA Tbk.,04 Apr 2022,11.938.622.394,Pengembangan
50,SICO,Sigma Energy Compressindo Tbk.,08 Apr 2022,910.077.764,Pengembangan
51,GOTO,GoTo Gojek Tokopedia Tbk.,11 Apr 2022,1.140.573.267.220,Pengembangan
52,TLDN,Teladan Prima Agro Tbk.,12 Apr 2022,12.946.530.200,Utama
53,MTMH,Murni Sadar Tbk.,20 Apr 2022,2.068.526.950,Utama
54,WINR,Winner Nusantara Jaya Tbk.,25 Apr 2022,5.235.316.030,Pemantauan Khusus
55,IBOS,Indo Boga Sukses Tbk.,25 Apr 2022,8.065.789.529,Akselerasi
56,OLIV,Atlas Nexus Group Tbk.,17 Mei 2022,1.900.073.314,Akselerasi
57,ASHA,Cilacap Samudera Fishing Indus,27 Mei 2022,5.000.000.000,Pengembangan
58,SWID,Saraswanti Indoland Developmen,07 Jul 2022,5.385.019.201,Pengembangan
59,TRGU,Cerestar Indonesia Tbk.,08 Jul 2022,7.945.412.700,Utama
60,ARKO,Arkora Hydro Tbk.,08 Jul 2022,2.928.495.000,Pengembangan
61,CHEM,Chemstar Indonesia Tbk.,08 Jul 2022,1.700.014.594,Pengembangan
62,DEWI,Dewi Shri Farmindo Tbk.,18 Jul 2022,2.000.000.000,Pengembangan
63,AXIO,Tera Data Indonusa Tbk.,20 Jul 2022,5.840.126.500,Pengembangan
64,KRYA,Bangun Karya Perkasa Jaya Tbk.,25 Jul 2022,1.663.943.474,Pengembangan
65,HATM,Habco Trans Maritima Tbk.,26 Jul 2022,9.320.000.000,Utama
66,RCCC,Utama Radar Cahaya Tbk.,02 Agt 2022,787.500.000,Akselerasi
67,GULA,Aman Agrindo Tbk.,03 Agt 2022,1.070.362.500,Pengembangan
68,JARR,Jhonlin Agro Raya Tbk.,04 Agt 2022,9.230.665.050,Utama
69,AMMS,Agung Menjangan Mas Tbk.,04 Agt 2022,1.235.296.802,Akselerasi
70,RAFI,Sari Kreasi Boga Tbk.,05 Agt 2022,3.128.140.475,Pemantauan Khusus
71,KKES,Kusuma Kemindo Sentosa Tbk.,08 Agt 2022,1.500.000.000,Pengembangan
72,ELPI,Pelayaran Nasional Ekalya Purn,08 Agt 2022,9.524.420.000,Utama
73,EURO,Estee Gold Feet Tbk.,08 Agt 2022,2.548.826.428,Akselerasi
74,KLIN,Klinko Karya Imaji Tbk.,09 Agt 2022,1.307.530.330,Akselerasi
75,TOOL,Rohartindo Nusantara Luas Tbk.,09 Agt 2022,2.050.020.320,Pengembangan
76,BUAH,Segar Kumala Indonesia Tbk.,09 Agt 2022,2.000.000.000,Pengembangan
77,CRAB,Toba Surimi Industries Tbk.,10 Agt 2022,1.950.000.000,Pengembangan
78,MEDS,Hetzer Medical Indonesia Tbk.,10 Agt 2022,1.562.500.000,Pengembangan
79,COAL,Black Diamond Resources Tbk.,07 Sep 2022,6.250.000.000,Pemantauan Khusus
80,PRAY,Famon Awal Bros Sedaya Tbk.,08 Nov 2022,13.959.422.300,Utama
81,CBUT,Citra Borneo Utama Tbk.,08 Nov 2022,3.125.000.000,Utama
82,BELI,Global Digital Niaga Tbk.,08 Nov 2022,137.218.985.689,Pengembangan
83,MKTR,Menthobi Karyatama Raya Tbk.,08 Nov 2022,12.060.428.584,Utama
84,OMED,Jayamas Medica Industri Tbk.,08 Nov 2022,27.058.850.000,Utama
85,BSBK,Wulandari Bangun Laksana Tbk.,08 Nov 2022,25.091.882.375,Pengembangan
86,PDPP,Primadaya Plastisindo Tbk.,09 Nov 2022,3.061.341.438,Pengembangan
87,KDTN,Puri Sentul Permai Tbk.,09 Nov 2022,1.250.023.298,Pengembangan
88,ZATA,Bersama Zatta Jaya Tbk.,10 Nov 2022,8.496.000.000,Pengembangan
89,NINE,Techno9 Indonesia Tbk.,05 Des 2022,2.157.000.000,Akselerasi
90,MMIX,Multi Medika Internasional Tbk,06 Des 2022,4.800.425.380,Pengembangan
91,PADA,Personel Alih Daya Tbk.,08 Des 2022,3.150.000.000,Pengembangan
92,ISAP,Isra Presisi Indonesia Tbk.,09 Des 2022,4.020.377.702,Akselerasi
93,VTNY,Venteny Fortuna International ,15 Des 2022,6.265.193.445,Pengembangan
94,SOUL,Mitra Tirta Buwana Tbk.,06 Jan 2023,1.082.526.223,Akselerasi
95,ELIT,Data Sinergitama Jaya Tbk.,06 Jan 2023,2.031.643.057,Pengembangan
96,BEER,Jobubu Jarum Minahasa Tbk.,06 Jan 2023,4.000.000.000,Pengembangan
97,CBPE,Citra Buana Prasida Tbk.,06 Jan 2023,1.356.250.000,Pengembangan
98,SUNI,Sunindo Pratama Tbk.,09 Jan 2023,2.500.000.000,Utama
99,CBRE,Cakra Buana Resources Energi T,09 Jan 2023,4.538.067.441,Pengembangan
100,WINE,Hatten Bali Tbk.,10 Jan 2023,2.710.000.000,Pengembangan
101,BMBL,Lavender Bina Cendikia Tbk.,11 Jan 2023,1.030.080.995,Akselerasi
102,PEVE,Penta Valent Tbk.,24 Jan 2023,1.765.625.000,Pengembangan
103,LAJU,Jasa Berdikari Logistics Tbk.,27 Jan 2023,2.149.942.974,Pengembangan
104,FWCT,Wijaya Cahaya Timber Tbk.,01 Feb 2023,1.963.000.000,Pengembangan
105,NAYZ,Hassana Boga Sejahtera Tbk.,06 Feb 2023,2.550.011.472,Akselerasi
106,IRSX,Folago Global Nusantara Tbk.,07 Feb 2023,6.195.047.377,Pengembangan
107,PACK,Abadi Nusantara Hijau Investam,08 Feb 2023,34.114.419.751,Pemantauan Khusus
108,VAST,Vastland Indonesia Tbk.,08 Feb 2023,3.055.737.049,Pengembangan
109,CHIP,Pelita Teknologi Global Tbk.,08 Feb 2023,806.000.000,Akselerasi
110,HALO,Haloni Jane Tbk.,08 Feb 2023,6.078.729.117,Pengembangan
111,KING,Hoffmen Cleanindo Tbk.,16 Feb 2023,2.602.852.170,Akselerasi
112,PGEO,Pertamina Geothermal Energy Tb,24 Feb 2023,41.920.791.322,Utama
113,FUTR,Futura Energi Global Tbk.,27 Feb 2023,6.635.551.959,Pengembangan
114,HILL,Hillcon Tbk.,01 Mar 2023,14.741.500.000,Pemantauan Khusus
115,BDKR,Berdikari Pondasi Perkasa Tbk.,03 Mar 2023,4.725.101.522,Utama
116,PTMP,Mitra Pack Tbk.,06 Mar 2023,3.169.200.000,Pengembangan
117,SAGE,Saptausaha Gemilangindah Tbk.,08 Mar 2023,8.033.527.260,Pemantauan Khusus
118,TRON,Teknologi Karya Digital Nusa T,08 Mar 2023,2.951.328.448,Pengembangan
119,CUAN,Petrindo Jaya Kreasi Tbk.,08 Mar 2023,112.418.900.000,Utama
120,NSSS,Nusantara Sawit Sejahtera Tbk.,10 Mar 2023,23.801.568.645,Pengembangan
121,GTRA,Grahaprima Suksesmandiri Tbk.,30 Mar 2023,1.894.375.000,Pengembangan
122,HAJJ,Arsy Buana Travelindo Tbk.,05 Apr 2023,2.468.527.572,Akselerasi
123,PIPA,Oxala Energy International Tbk,10 Apr 2023,3.426.097.190,Pengembangan
124,NCKL,Trimegah Bangun Persada Tbk.,12 Apr 2023,63.098.600.000,Pengembangan
125,MENN,Menn Teknologi Indonesia Tbk.,18 Apr 2023,1.434.052.006,Pemantauan Khusus
126,AWAN,Era Digital Media Tbk.,18 Apr 2023,3.435.000.000,Pengembangan
127,MBMA,Merdeka Battery Materials Tbk.,18 Apr 2023,107.995.419.900,Utama
128,RAAM,Tripar Multivision Plus Tbk.,08 Mei 2023,6.813.620.000,Utama
129,DOOH,Era Media Sejahtera Tbk.,08 Mei 2023,7.738.891.036,Pengembangan
130,JATI,Informasi Teknologi Indonesia ,08 Mei 2023,3.262.520.106,Pengembangan
131,TYRE,King Tire Indonesia Tbk.,08 Mei 2023,3.480.581.727,Pengembangan
132,MPXL,MPX Logistics International Tb,09 Mei 2023,2.000.014.587,Pengembangan
133,SMIL,Sarana Mitra Luas Tbk.,12 Mei 2023,8.751.668.239,Utama
134,KLAS,Pelayaran Kurnia Lautan Semest,12 Jun 2023,3.644.415.975,Pengembangan
135,MAXI,Maxindo Karya Anugerah Tbk.,12 Jun 2023,9.610.099.981,Pengembangan
136,VKTR,VKTR Teknologi Mobilitas Tbk.,19 Jun 2023,43.750.000.000,Pengembangan
137,RELF,Graha Mitra Asia Tbk.,22 Jun 2023,5.727.832.195,Akselerasi
138,AMMN,Amman Mineral Internasional Tb,07 Jul 2023,72.518.217.656,Utama
139,CRSN,Carsurin Tbk.,10 Jul 2023,2.892.000.000,Pengembangan
140,GRPM,Graha Prima Mentari Tbk.,10 Jul 2023,1.571.666.469,Akselerasi
141,WIDI,Widiant Jaya Krenindo Tbk.,10 Jul 2023,1.600.031.683,Akselerasi
142,TGUK,Platinum Wahab Nusantara Tbk.,10 Jul 2023,3.571.451.815,Pemantauan Khusus
143,INET,Sinergi Inti Andalan Prima Tbk,24 Jul 2023,22.377.786.734,Pengembangan
144,MAHA,Mandiri Herindo Adiperkasa Tbk,25 Jul 2023,16.666.000.000,Utama
145,RMKO,Royaltama Mulia Kontraktorindo,31 Jul 2023,1.576.720.595,Pengembangan
146,CNMA,Nusantara Sejahtera Raya Tbk.,02 Agt 2023,83.345.000.000,Pengembangan
147,FOLK,Multi Garam Utama Tbk.,07 Agt 2023,4.091.357.544,Pengembangan
148,HBAT,Minahasa Membangun Hebat Tbk.,07 Agt 2023,1.040.740.800,Akselerasi
149,GRIA,Ingria Pratama Capitalindo Tbk,08 Agt 2023,7.375.720.674,Pengembangan
150,PPRI,Paperocks Indonesia Tbk.,08 Agt 2023,1.075.027.288,Pengembangan
151,ERAL,Sinar Eka Selaras Tbk.,08 Agt 2023,5.187.500.000,Utama
152,CYBR,ITSEC Asia Tbk.,08 Agt 2023,13.487.019.905,Pengembangan
153,MUTU,Mutuagung Lestari Tbk.,09 Agt 2023,3.452.228.885,Pengembangan
154,LMAX,Lupromax Pelumas Indonesia Tbk,09 Agt 2023,650.008.775,Akselerasi
155,HUMI,Humpuss Maritim Internasional ,09 Agt 2023,18.063.771.579,Pengembangan
156,MSIE,Multisarana Intan Eduka Tbk.,10 Agt 2023,1.460.007.754,Akselerasi
157,RSCH,Charlie Hospital Semarang Tbk.,28 Agt 2023,2.650.000.000,Pengembangan
158,BABY,Multitrend Indo Tbk.,07 Sep 2023,2.854.826.582,Pengembangan
159,AEGS,Anugerah Spareparts Sejahtera ,11 Sep 2023,1.006.080.721,Akselerasi
160,IOTF,Sumber Sinergi Makmur Tbk.,06 Okt 2023,5.290.298.067,Pengembangan
161,KOCI,Kokoh Exa Nusantara Tbk.,07 Okt 2023,4.467.630.537,Pengembangan
162,PTPS,Pulau Subur Tbk.,09 Okt 2023,2.167.514.856,Pengembangan
163,BREN,Barito Renewables Energy Tbk.,09 Okt 2023,133.786.220.000,Utama
164,STRK,Lovina Beach Brewery Tbk.,10 Okt 2023,10.721.835.562,Pengembangan
165,KOKA,Koka Indonesia Tbk.,11 Okt 2023,2.861.333.000,Pengembangan
166,LOPI,Logisticsplus International Tb,11 Okt 2023,1.100.011.289,Akselerasi
167,UDNG,Agro Bahari Nusantara Tbk.,31 Okt 2023,1.750.040.072,Akselerasi
168,RGAS,Kian Santang Muliatama Tbk.,08 Nov 2023,1.459.234.110,Pengembangan
169,MSTI,Mastersystem Infotama Tbk.,08 Nov 2023,3.139.416.200,Utama
170,IKPM,Ikapharmindo Putramas Tbk.,08 Nov 2023,1.684.662.500,Pengembangan
171,AYAM,Janu Putra Sejahtera Tbk.,30 Nov 2023,4.000.000.000,Pengembangan
172,SURI,Maja Agung Latexindo Tbk.,07 Des 2023,6.334.375.000,Pengembangan
173,ASLI,Asri Karya Lestari Tbk.,05 Jan 2024,6.250.000.000,Pengembangan
174,CGAS,Citra Nusantara Gemilang Tbk.,08 Jan 2024,1.771.499.039,Pengembangan
175,NICE,Adhi Kartiko Pratama Tbk.,09 Jan 2024,6.082.020.000,Pengembangan
176,MSJA,Multi Spunindo Jaya Tbk.,10 Jan 2024,5.882.352.900,Pengembangan
177,SMLE,Sinergi Multi Lestarindo Tbk.,10 Jan 2024,2.328.153.048,Pengembangan
178,ACRO,Samcro Hyosung Adilestari Tbk.,11 Jan 2024,3.469.345.537,Pengembangan
179,MANG,Manggung Polahraya Tbk.,11 Jan 2024,3.812.606.029,Akselerasi
180,GRPH,Griptha Putra Persada Tbk.,17 Jan 2024,1.000.000.000,Pengembangan
181,SMGA,Sumber Mineral Global Abadi Tb,30 Jan 2024,8.750.000.000,Pengembangan
182,UNTD,Terang Dunia Internusa Tbk.,07 Feb 2024,6.666.666.700,Pengembangan
183,TOSK,Topindo Solusi Komunika Tbk.,07 Feb 2024,4.375.277.300,Pengembangan
184,MPIX,Mitra Pedagang Indonesia Tbk.,07 Feb 2024,1.562.574.308,Pengembangan
185,ALII,Ancara Logistics Indonesia Tbk,07 Feb 2024,15.825.800.000,Utama
186,MKAP,Multikarya Asia Pasifik Raya T,12 Feb 2024,3.250.000.000,Pengembangan
187,MEJA,Harta Djaya Karya Tbk.,12 Feb 2024,2.608.081.058,Akselerasi
188,LIVE,Homeco Victoria Makmur Tbk.,12 Feb 2024,4.593.005.014,Pengembangan
